Çöltekin, Çağrı
Frostig, Roy
Massie, Stewart
Martines, Andrea
Sap, Maarten
Diao, Qiming
Ma, Xuezhe
Móra, György
Elluru, Naresh Kumar
Carroll, Lucien
Wellens, Pieter
Sa, Ning
Dogruoz, A. Seza
Jung, Youngim
Magno, Gabriel
Michelony, Aaron
Ahmidi, Narges
Noel, J.
Misra, Amita
Hadian, Ali
Luciani, Matteo
Crowston, Kevin
Gonçalves, Patricia
Megyesi, Beáta
Chen, Xin
Li, Dingcheng
Ganesalingam, Mohan
Matsuda Goodwin, Reiko
Flor, Michael
Tsuchida, Masaaki
Ray, Soumya
McFarland, Daniel A.
Dingemanse, Mark
Hatakoshi, Yuto
Wei, Chongqiang
Yuan, Qi
Shu, Baihan
Poch, Marc
Pal, Christopher
N., Ezeiza
Campos, Fernanda
Henríquez Q., Carlos A.
Ganguly, Debasis
Watrin, Patrick
Tongchim, Shisanu
Maurel, Fabrice
Bhole, Abhijit
Nuhn, Malte
Chapelle, Olivier
Drobac, Senka
Kochut, K.
Rogers, Jim
Morita, Mizuki
Byron, D.
Ravenscroft, Andrew
Bian, Jiang
Remus, Robert
Brun, Yuriy
Webb-Robertson, Bobbie-Jo
Kruger, Justin
Uthus, David C.
P., Praveen
Poursepanj, Hamid
Akiba, Iwao
Frank, Austin F.
Chen, Yanqing
Chen, Yuanzhu Peter
Arizmendi, Iker
Vishwanathan, S. V. N.
Garmash, Ekaterina
Moloodi, Amirsaeid
Martins, André F. T.
De Calmes, M.
Xu, Yue
Quattoni, Ariadna
Houngbo, Hospice
Smith, Jason R.
Gotsoulia, Voula
Röpke, Insa
Jones, Simon
Kruit, Benno
Morin, Jason
C. Doraisamy, Shyamala
Meystre, Stephane
Macek, Tomas
Jie, Zhanming
Nicolai, Garrett
Qian, Yueliang
Inácio, Susana
Liu, Xitong
Embanga Aborobongui, Martial
Chan, Syin
Skeppstedt, Maria
Ebling, Sarah
Afli, Haithem
Vanetik, Natalia
Ozbal, Gozde
Wang, xiao-long
Jongtaveesataporn, Markpong
Miháltz, Márton
Pokkunuri, Sandeep
Zhang, Chunliang
Schraagen, Marijn
Tagliamonte, Sali
Jamoussi, Salma
Cortes, Corinna
Mathieu, Jennifer
Thalappillil Scaria, Aju
Li, Hanzhang
Sina, Gabriel
Zhang, Tongtao
Schamoni, Shigehiko
NasrEsfahani, Mohammad
Lefeuvre, Anaïs
Yazıcı, Adnan
Sawada, Hiroshi
Saleem, Safiyyah
Luo, Shangyu
Köprü, Selçuk
Angeli, Gabor
Gao, Dehong
Ellis, Nick
Sims, Valerie K.
, Xuẩn Lương Vũ
Recski, Gábor
Chen, Langzhou
de Marneffe, Marie-Catherine
Hua, Song
Gasic, Milica
Cases, Ignacio
Xu, Jian
Grönroos, Stig-Arne
Liu, Qiang
Moreno-Ortiz, Antonio
Barker, Fiona
Ben Jannet, Mohamed
Han, Xufeng
Schütte, Niels
Kolari, Pranam
Tien Nguyen, Dat
Keerthi, Sathiya
Corcoran, Thomas
Wang, Ruibo
Lubold, Nichola
Kamar, Ece
Rios Gonzales, Annette
Esplà-Gomis, Miquel
Trotman, Andrew
Chen, Qingcai
Guo, Honglei
Dunham, Joel
Piergallini, Mario
Rossi, Luca
Razímová, Magda
Felner, Ariel
Mehta, Sameep
Van Horenbeeck, Eric
Mallek, Fatma
Mandya, Angrosh
Lin, Wei-Fen
Yu, Jiangde
Aransa, Walid
Krupavičius, Algis
Muñiz Cuza, Carlos
Enache, Ramona
C. S., Malarkodi.
Peterson, Daniel
Kosinski, Michal
Molina-González, M. Dolores
Appell, Jens-E.
Xiang, Guang
Zhang, Yangsen
Gomes, Daniela
Krasselt, Julia
Velichkov, Boris
Móntes y Gomez, Manuel
Smeaton, Alan
Perez-Tellez, Fernando
Jörwall, Jakob
Zhuge, Hai
Galgani, Filippo
Ou, Gaoyan
Curiel, Arturo
Tapiovaara, Tero
Riordan, Brian
Chaudhri, Vinay
Bai, Shuanhu
Seidman, Shachar
Zalmout, Nasser
Harnly, Aaron
Yan, Huiying
Shankar, Jeevan
BÖrschinger, Benjamin
Nédellec, Claire
Costa, Hernani
Danielsson-Ojala, Riitta
Plotnick, Alex
Swaminathan, R.
Yu, Haonan
Farrajota, Luisa
Lai, Albert M.
Li, Peifeng
Anbarjafari, Gholamreza
Arioka, M.
List, Johann-Mattis
Lawless, Seamus
Nasir, Jamal A.
Tibshirani, Julie
Szumlanski, Sean
Caragea, Cornelia
Silovsky, Jan
Zhou, Xiaofei
Gyawali, Binod
Durgar El-Kahlout, İlknur
Ng, Eric Jun Feng
Panchal, Vishal
Neyaz, Rukhsar
Ragab, Maha
Wang, Longyue
Alves, Ana
Xiong, Chenyan
Kasterka, Uwe
Shih, Hsiu-Min
Park, Gregory
Price, Lotti
Barsanti, Igor
Barrena, Ander
Buranovaá, Eva
Kalisch, Nicolai
Schlotterbeck, Fabian
Hochberg, Limor
Gelas, Hadrien
Chittaranjan, Gokul
Virk, Shafqat Mumtaz
Toni,
Aleman, Yuridiana
Hammond, Adam
Dong, Ming-Chui
O’Keefe, Tim
Ã?Ã¶ltekin, Ã?aÄ?rÄ±
Lassalle, Emmanuel
Manurung, Ruli
Pepper, Steve
Jarrar, Mustafa
Zerche, Julia
Roesiger, Ina
Faria, Pablo Picasso Feliciano de
Crist, L.
Kouse, Tomoya
Nickerson, Jeffrey
Mariño, José B.
Derbring, Sandra
Venkataraman, Vivek
Vinson, Mark
Yen, Tzu-Hsi
Rawat, Shourabh
Hu, Feiyan
Purwar, Shalini
Wang, Ming-Wei
Chopra, Harshit
Grishina, Yulia
Lau, Tessa
Knowles, Rebecca
Dillon, Theresa
Engelbrecht, Herman A.
Sarrafzadeh, Abdolhossein
Ouyang, Shixiao
Cassell, Jackie
Yamaguchi, Hiroshi
Sokolov, Artem
Strauss, M.
Zhu, Xiang
Friedrich, Annemarie
Yao, Yao
Stanovsky, Gabriel
Shein, Fraser
Zhou, Jiaji
Johannsen, Anders
Zhang, Yaoyun
Pinto, Francisco
Seite, B.
Bajec, Marko
Thanadkran, Kanokwut
Gung, James
Bui, Marc
Kim, UngMo
Kong, Liang
Wartena, Christian
Jiménez-Salazar, Héctor
Zhang, Xiaoxun
Zhao, Qi
Hu, Haifeng
Phillips, Aaron
Aliabadi, Purya
Ogar, Jennifer
Soares, Altigran
Zhang, Fen
Lacruz, Isabel
Luo, Wencan
Darányi, Sándor
Weitz, Benjamin
Fendrich, Sascha
Lagoze, Carl
Wyner, Adam
Cagan, Tomer
Vassilivitskii, Sergei
Kaldager, Steinar Vittersa
McCabe, Rose
Malu, Akshat
Phandi, Peter
Burgos, Diego
Hui, Haotian
de Mori, Renato
Wang, Jingqi
Homan, Christopher
Memmi, D.
Kozlowski, Marek
Chen, Junwen
Karsdorp, Folgert
Rüd, Stefan
Dehkharghani, Rahim
Subramaniam, Sethuramalingam
Trikalinos, Thomas A
Peeters, Geert
Tian, Mingjun
Rodríquez, Horacio
Baquero, Julia
Zhang, David
Wu, Fei
Luctkens, E.
Huang, ChaoChao
Okoye, Ifeyinwa
Fonollosa, José
Darling, William M.
Han, Dongxu
Wang, Dongliang
Bungum, Lars
Lee, Sunyou
Somin, Anton
Tang, Shiping
Kopack, Michael
Backus, Ad
Teng, Chong
O'Keefe, Timothy
Malvache, P.
Konrad, Manuel
Jakob, Niklas
Ullman, Edvin
Haffari, Reza
He, Ai
Arnold, Sebastian
Liberato, Frank
Lévy, François
Gertz, Michael
Mitra, Sunny
Qin, Yong
Rudnick, Alex
Mahmod, Ramlan
Toldova, Svetlana
Moncecchi, Guillermo
Wang, Aobo
Mutlu, Bilge
Skiena, Steven
Zou, Hongjian
Mohamed, Muhidin
Lu, Zhimao
Björne, Jari
Mariño, Josée B.
Pavlopoulos, John
Jayapal, Arun
Ibn Faiz, Syeed
McDowell, Bill
Honavar, Vasant
Chorianopoulou, Arodami
Xie, Jun
Toledo, Assaf
Vovsha, Ilia
Shumovsky, V.
Liang, Huashen
Parveen, Daraksha
Kunc, Ladislav
Qu, Lizhen
Hosseini, Mohammad Javad
Dubuisson, Jimmy
Fabbri, Renato
Jia, Yunyi
Li, Zhuo
Johnson, Colin
O'Brien, Ron
Labsky, Martin
Penstein RosÃ©, Carolyn
Senapati, Apurbalal
Ye, Peng
Wallace, Byron
Ke, Dengfeng
Hermann, Karl Moritz
Misyurev, Alexey
Lourenço, Mariana
Pan, Sinno Jialin
Le Nagard, Ronan
Koiso, H.
Moriceau, Véronique
Vakil, Anjana
Nagi, Magdy
Jakobs, Eva-Maria
Johnson, W. Lewis
Hajishirzi, Hannaneh
Chen, Bee-Chung
Takano, F.
Yaghoubzadeh, Ramin
Liverko, Sergey
Mulholland, Matthew
Yang, Ping-che
Crestana, Carlos
Yu, Jiye
Schottmüller, Nina
Voionmaa, Kaarlo
Teichmann, Christoph
Magri, Giorgio
Pachunke, T.
Riedl, Martin
Mamidi, Radhika
Cai, Qing-qing
Wetzel, Dominikus
McDonald, David W.
Abowd, Gregory
Xu, Ran
Gao, Yan
Lagoutte, Aurelie
Shi, Zhiwei
Rokhlenko, Oleg
Zapata-Jaramillo, Carlos M.
Calders, Toon
Plank, Frans
Shirley, Kenneth
Sagot, Benoît
Gelbart, Katie
Redecker, Eva
Walker, Vern
Hanaki, Kentaro
Eichmann, David
Stratos, Karl
Karagyozov, Diman
KrÃ­Å¾, Vincent
Sheehan, Kathleen M.
Raymond, Geoffrey
Shibaki, Yumi
Tanner, Herbert G.
Copperman, Hannah
Zhu, Dingju
Fernando, Samuel
Guo, Chun
Feblowitz, Dan
Cohen, Raphael
Ménard, Pierre André
Grivolla, Jens
Diepenbeck, Melanie
Etxeberria, Izaskun
Goyal, Pawan
Çetinoğlu, Özlem
McFate, Clifton
Papalexakis, Evangelos
