Mohsen, Jamal
Shafir, Michael
Winner, Kevin
Tzouridis, Emmanouil
O'Donnell, Tim
Rood, Travis
Graells, Eduardo
Kjersten, Brian
von Waldenfels, Ruprecht
Sykora, Martin
Geiger, Jonathan
Baeza-Yates, Ricardo
Alrajeh, Abdullah
Jacobs, Robert
Perek, Florent
Altman, Eitan
B&eacute;chet, Nicolas
El Maarouf, Ismail
Hennig, Leonhard
Belanger, David
Lamb, William
Ben Jannet, Mohamed
Vassilivitskii, Sergei
de Rijke, Maarten
Pad&oacute;, Sebastian
Matrouf, Driss
Hinote, David
Hazure, Daiki
Cogley, James
Akbik, Alan
Strik, Helmer
Popov, Alexander
Zipser, Florian
Molchanov, Alexander
Rastegar-Mojarad, Majid
Penman, Richard
Durrani, Nadir
Troncy, Raphael
Jermann, Patrick
Gorinski, Philip
Bielick&yacute;, Viktor
Pastusiak, Andrzej
van Oosten, Philip
Vuorinen, Matti
Clifford, Jim
Jha, Rahul
Korayem, Mohammed
Chaudhari, Dipak L.
Horner, Joshua
Almeida, Miguel B.
Berberich, Klaus
O'Gorman, Tim
Roturier, Johann
Maruyama, Ichiro
Sperr, Henning
Sokokov, Artem
Yilmaz, Okan
Chapelle, Olivier
de Malézieux, Guillaume
Niehr, Thomas
Yessenbayev, Zhandos
Nguyen, Antony
Tanigaki, Koichi
Figueiredo, Mario
Günther, Tobias
Stevens, Robert
Zwick, Matthias
Ó Séaghdha, Diarmuid
Azaoui, Brahim
Tse, Daniel
Varga, Viktor
Rosin, Paul
Szymanski, Terrence
Orwant, Jon
Keshet, Ezra
Ceau&scedil;u, Alexandru
M&uuml;ller, Christof E.
Knauth, Jürgen
Christiansen, Thomas
Preoţiuc-Pietro, Daniel
Redlawsk, David P.
Trieschnigg, Dolf
Strebkov, Dmitry
Wawer, Aleksander
Bradshaw, William
Zell, Julian
Velcin, Julien
Feist, Rico
Dubbin, Gregory
Ito, Masashi
Espl&Atilde;&nbsp;-Gomis, Miquel
Abney, Steven
Steyvers, Mark
Albatal, Rami
Eichmann, David
Michael, Thilo
Barrena, Ander
Swanson, Benjamin
Heskes, Tom
Rizzo, Giuseppe
Ullman, Edvin
Woolford, John L.
Barrón-Cedeño, Alberto
Alm&aacute;si, Attila
Matthews, David
Whang, Steven
Mihaylov, Todor
Melnikov, Michail
Waite, Aurelien
Garley, Matt
Cohen, Raphael
Hofmann, Florian
Johnson, Colin
Berman, Alexander
van der Goot, Rob
Krupavicius, Algis
Balle, Borja
Tresp, Volker
Furuhashi, Takeshi
Pustejovsky, James
Farr&eacute;, Jacques
Basu, Sumit
Couto Vale, Daniel
O'Donnell, Mick
Baikadi, Alok
Radomski, Stefan
Hammond, Adam
Wisniewski, Guillaume
Silva, David
Avanço, Lucas
Rousseau, Anthony
Ortiz Rojas, Sergio
Gader, Nabil
Kiciman, Emre
Krilavičius, Tomas
Tsuchida, Masaki
Yamaguchi, Hiroshi
D&eacute;silets, Alain
Çöltekin, Çağrı
Wrede, Sebastian
Teichert, Adam
Howcroft, David
Bohnert, Fabian
Rubin, David
Orkin, Jeff
Moraliyski, Rumen
Lofi, Christoph
Kr&Atilde;&shy;&Aring;&frac34;, Vincent
